AR9,AR16,DC05-06-2010,DC05-6-21,DC05-06-2029,SU 03-24,SU 03-25,DC 04-5-2,AM 076,99 RS 28,99 RS 65,DC 5-5-4,SJ-16,SJ-11,SJ-57,DC 5-6-28,CP1,CP7,CP10,CP14,CP17,CP18,CP21,CP22,CP23,CP103,CP107,CP212,CP702,CP705,CM016,AM1,AM2,AM3,AM4,CT1,CT4,CT6,CT7,CT8,CT9,CT10,CT11,CT13,EO1,EO3,E04,EO5,EO6,EO2,Romero2013
349.0685982,503.5126684,2134.108710245948,933.5731975697138,1339.2425653759963,1016.0830039956126,NA,1156.3988036989813,1115.8013704486739,775.1919045456749,1037.5940818481317,1078.6020510319047,1047.1026919308144,1115.3166552504936,994.8407269222761,508.5991048413856,NA,603,958.1,558.6,282.1,NA,552,517.1,1084.4,546.9,NA,318.1,NA,NA,NA,599.7,499.1,555.2,507.9,975.4,643.4,495.1,599.5,NA,513,442.6,581.4,224.2,928,586,1104,1102,560,2252,1847
247.5238131,504.7233307,1347.148184835837,563.2366158827856,1967.2552154157754,1033.7086355522363,NA,1963.387359293883,1216.0599378576019,576.8913784562535,1024.5805751238881,1058.8595848940092,1048.814722223734,1117.343548084447,998.2991232132846,560.3078818758589,NA,626.8,961.2,562,500.5,NA,553.7,529.3,1078.7,548.3,NA,347.1,NA,NA,NA,601.6,499.2,569.5,511.7,1049.9,738.9,506.9,603.9,NA,523.1,455.3,600.4,224.6,388,644,514,365,802,980,1988
171.7301463,506.3724021,1169.126278404297,659.8356894540221,1967.7916078005194,1095.9899893782806,NA,1046.301706561089,1214.014457008058,687.2993324236509,503.82840080162555,1091.5709604630745,1055.5002807659,1122.3686970513725,1004.4405716288765,597.2961678685641,NA,627.1,983.7,574,546.1,NA,567.7,530.2,NA,602.3,NA,358.7,NA,NA,NA,603.2,506.5,571.7,520.7,1024,768.6,509.4,604.8,NA,523.7,456.8,604.1,224.7,481,596,577,579,1013,1204,2519
154.3520472,507.1024399,464.99689559802914,645.423767525179,1427.829138288429,1048.9720102118652,NA,1450.2138355562709,1099.5596012694634,1061.1711689838417,470.31748713471035,1072.0543753168645,1079.4717328463398,1126.025023316957,1014.6654195589164,604.0096748673284,NA,658.9,1045.9,578.9,548.1,NA,570.6,553.5,NA,616.2,NA,373.4,NA,NA,NA,622.5,522.3,575.1,522.7,994.6,785.7,513.1,683.1,NA,524.9,458.4,681.9,NA,628,1077,608,789,906,715,NA
2914.550632,508.34488700000003,1157.430028713062,555.3965557022354,690.022283352014,962.6958513803213,NA,1545.2346558460072,823.6022118812576,778.6505165032345,942.412290884411,1106.2599584673042,1083.4326341075648,1134.9099984333895,1032.9378431243376,644.6503616372099,NA,662.2,1161,592.6,553.2,NA,574.2,565.4,NA,740.3,NA,446.8,NA,NA,NA,630.6,524.7,578.6,525.5,1077.9,802.4,517.6,1037.8,NA,528.6,460.9,686.5,NA,237,874,558,601,1088,396,NA
2694.834617,514.5587903,1158.0924921980693,541.3149776822008,2034.5800028151,520.9225928686193,NA,974.5244226030095,1162.2662707870597,1092.6957164241892,821.4662564234725,1184.1051452369497,1086.2433855476488,1139.366732550334,1039.3539010891623,876.7800175153295,NA,670.2,1051.3,616.9,555.9,NA,606.8,567,NA,830.4,NA,459.4,NA,NA,NA,631.4,551.6,579.6,527.3,1330.9,812.2,518.3,1042.9,NA,529.8,472.4,692.9,NA,427,974,564,1039,696,1367,NA
2099.651938,514.6357924,1195.8064595482472,1683.2239960814172,641.5539200708988,940.8898115660024,NA,1619.48324157726,1179.1806994462952,583.1508098833508,1161.9660233967984,1146.867519492532,1089.422304934871,1139.817562585535,1040.7590112998214,958.0470004762169,NA,695.5,1149.7,617.2,556.1,NA,626.4,567.4,NA,852.1,NA,491.6,NA,NA,NA,676.9,551.8,579.6,545.4,1139.4,906.9,526.3,1039.6,NA,532.5,510.9,735.6,NA,710,2227,579,929,396,771,NA
2096.339507,515.7854083,1172.9648773784597,491.0108567652749,1695.1201103241897,2651.879518161571,NA,514.3222402431197,1177.4866492063302,787.5006890250294,926.1895046616593,890.7216487838276,1094.4851142905682,1140.5198536250336,1046.076349614911,968.5184499326963,NA,865.5,1396.7,634.8,560.6,NA,628.3,580,NA,852.6,NA,549.3,NA,NA,NA,684.9,566.7,579.6,548.1,1310.7,942.3,537.4,1036,NA,535.5,513.7,745.5,NA,410,573,613,852,NA,1482,NA
2030.619574,516.972111,1107.7930072418235,543.0428871768041,1522.5022634703107,490.54999895587656,NA,614.5362552761177,1255.2903686144448,560.9032000134281,524.1267924911533,944.1912606017463,1099.922821231075,1141.7743149552423,1054.4384224645594,1015.979109590098,NA,881.4,1553.7,641.5,563.1,NA,634.2,588.6,NA,890.7,NA,549.4,NA,NA,NA,698.7,666.2,583.5,550.3,1299.3,960,537.7,1036.9,NA,536.2,516.3,809.7,NA,466,496,572,686,NA,1617,NA
1919.565752,518.7370198,1093.6689560032557,944.8828726440598,1463.200224872943,555.4745383513341,NA,1663.8212046968067,1003.8571968066864,668.3056777152946,746.1410963907434,1672.3721412617615,1106.973892929948,1149.7677430693052,1054.8146375802457,1026.680391673534,NA,916.2,1841.1,656.6,565.5,NA,702.3,601,NA,1069.6,NA,551,NA,NA,NA,832.8,731.6,583.8,558.9,1199.8,997.4,537.8,1169.7,NA,565.4,519.6,823.2,NA,535,541,601,835,NA,1632,NA
1911.475601,533.2867401,1198.7017495029572,550.9325450716499,622.2679041049341,591.0818685304969,NA,2018.564134313371,481.2567795749996,996.4878094097062,1257.8610671088206,1065.399503488947,1114.0673517335813,1154.66088756777,1065.303343906201,1099.559713978354,NA,943,1722,659.5,584.8,NA,707.7,602.4,NA,1065.6,NA,574,NA,NA,NA,925.6,738.8,587.1,563.9,1447.8,1234.1,541.8,1371.3,NA,565.4,519.8,846.8,NA,591,1055,694,633,NA,2039,NA
1892.777517,540.5527991,1100.8524434450626,515.8788576570707,522.7455198777334,1161.9722935388545,NA,1031.7130990887454,488.247503124634,990.4070321025096,982.1064810292694,1051.5401184458972,1121.5844413904294,1157.3929728818987,1076.2842886249894,NA,NA,945.1,1907.5,671,611.1,NA,758.4,631.2,NA,1081.7,NA,575.9,NA,NA,NA,997.3,788.2,590.5,584.8,1211,1370.2,574,1228.8,NA,569.3,520.4,931.8,NA,281,2697,920,2664,NA,561,NA
1823.783105,543.771693,522.1447327423566,523.7810350543848,549.1858534891629,503.2718578273793,NA,512.6413179564078,1147.911803216072,551.0579159407014,1186.8364660000698,1042.3887263237534,1124.893618219614,1161.7351142889656,1081.7313269029232,NA,NA,952.4,1983.5,679.3,631.4,NA,801.3,643.8,NA,1426.2,NA,600,NA,NA,NA,1063.7,794.7,595.6,587.8,1568.5,1348.3,574.6,1534.5,NA,569.4,520.6,982,NA,778,391,592,778,NA,626,NA
1822.019139,545.3244809,1200.1159175272726,627.2589444031136,573.0462248763062,944.2027829860367,NA,1465.5171222728054,1002.4153257037267,668.1276125715932,1049.1340696413822,1101.2533607301884,1145.9930178860768,1164.8648737407784,1100.7398695440104,NA,NA,986.5,NA,712.9,634.3,NA,814.9,838.8,NA,1382.5,NA,605.8,NA,NA,NA,1076.7,811.3,603.6,592,1965.4,1081.7,576.9,1842.1,NA,585.4,520.7,1098.3,NA,841,984,710,576,NA,1603,NA
1763.152998,552.4648331,1995.1418687630846,1167.722861379619,562.352313703226,487.20720299002676,NA,1122.3999714875265,1100.6451160655151,726.2740752298737,605.2762794960379,1063.5866001558245,1156.6058433317708,1168.8817908140106,1117.165217534318,NA,NA,998.6,NA,756.8,797.3,NA,869.8,865.4,NA,1503.2,NA,632.5,NA,NA,NA,1169.7,827.3,604,598.4,2392.1,1139.2,586.7,2479.7,NA,623,520.8,1048.4,NA,580,638,698,878,NA,2033,NA
1691.734553,554.2815055,1383.3182345263353,2031.1274147125432,1011.0631885385635,1018.4954510342448,NA,1278.5142733507319,1155.2089775822876,712.1464787210004,808.396835372327,1227.107982830545,1162.2793337127105,1176.3250741157651,1133.340679406633,NA,NA,1031.8,NA,809.8,871.6,NA,870.7,910.2,NA,1513,NA,649.7,NA,NA,NA,1285,907.9,620.7,600.1,2691.3,1144,611.9,NA,NA,624.3,521,1086.2,NA,233,567,1146,626,NA,2044,NA
1687.771093,554.5477425,1847.2835045703102,522.2894223940468,979.3754822075803,539.4125696041133,NA,654.4181422105312,775.1919045456749,974.174721314947,864.1599994400999,1181.6864001984136,1163.5359140892135,1178.5951134624615,1135.3329348305879,NA,NA,1011.5,NA,846.7,877.6,NA,920,947.1,NA,1535,NA,805,NA,NA,NA,1548.8,913.9,634.3,600.9,2619,1160,677.2,NA,NA,624.5,525.1,1055.8,NA,616,3064,580,586,NA,1160,NA
